cik,tic,Shortname,Longname,Sector,Industry,Stock_Change%,Year,Sentiment_Score
1004980.0,PCG,Pacific Gas & Electric Co.,PG&E Corporation,Utilities,Utilities - Regulated Electric,16.0072104539563,2022,-0.069022811949253
1032208.0,SRE,DBA Sempra,Sempra,Utilities,Utilities - Diversified,23.309240049916504,2022,-0.3316998779773712
76334.0,PH,Parker-Hannifin Corporation,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,-5.255846567267264,2022,-0.8273450136184692
723531.0,PAYX,"Paychex, Inc.","Paychex, Inc.",Technology,Software - Application,16.56061036277954,2022,-0.7322396636009216
922224.0,PPL,PPL Corporation,PPL Corporation,Utilities,Utilities - Regulated Electric,3.1648461218384494,2022,-0.0254949368536472
77360.0,PNR,Pentair plc.,Pentair plc,Industrials,Specialty Industrial Machinery,-25.5564147856149,2022,-0.942952573299408
77476.0,PEP,"Pepsico, Inc.","PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,17.29569063235985,2022,-0.9144490361213684
78003.0,PFE,"Pfizer, Inc.",Pfizer Inc.,Healthcare,Drug Manufacturers - General,22.021923961141265,2022,0.1306512057781219
1109357.0,EXC,Exelon Corporation,Exelon Corporation,Utilities,Utilities - Regulated Electric,32.87801167907365,2022,-0.1274052262306213
764180.0,MO,"Altria Group, Inc.","Altria Group, Inc.",Consumer Defensive,Tobacco,9.380661087338972,2022,-0.0348355919122695
1163165.0,COP,ConocoPhillips,ConocoPhillips,Energy,Oil & Gas E&P,82.76603048776987,2022,0.0
80424.0,PG,Procter & Gamble Company (The),The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,8.292589681170437,2022,-0.2469663769006729
788784.0,PEG,Public Service Enterprise Group,Public Service Enterprise Group Incorporated,Utilities,Utilities - Regulated Electric,7.889956486151228,2022,0.0614996626973152
822416.0,PHM,"PulteGroup, Inc.","PulteGroup, Inc.",Consumer Cyclical,Residential Construction,-13.620927527700076,2022,-0.9266012907028198
720005.0,RJF,"Raymond James Financial, Inc.","Raymond James Financial, Inc.",Financial Services,Asset Management,20.56981377128801,2022,-0.8370574116706848
